Sr No.,Month,Index Value (Exp)
1,Jan-20,100
2,Feb-20,135.4
3,Mar-20,72.3
4,Apr-20,82.4
5,May-20,86.7
6,Jun-20,113.7
7,Jul-20,101
8,Aug-20,123.6
9,Sep-20,118.2
10,Oct-20,110.8
11,Nov-20,125.6
12,Dec-20,117.6
13,Jan-21,422.9
14,Feb-21,581.2
15,Mar-21,878.5
16,Apr-21,898.9
17,May-21,719.2
18,Jun-21,509.9
19,Jul-21,646.2
20,Aug-21,690.3
21,Sep-21,629.7
22,Oct-21,800.4
23,Nov-21,1806.5
24,Dec-21,1830.2
25,Jan-22,1664.3
26,Feb-22,1824.7
27,Mar-22,1438.2
28,Apr-22,1285.8
29,May-22,1269.2
30,Jun-22,897.1
31,Jul-22,1545.6
32,Aug-22,934.6
33,Sep-22,1307.9
34,Oct-22,741.9
35,Nov-22,1007.4
36,Dec-22,1681
37,Jan-23,245
38,Feb-23,110.6
39,Mar-23,291.8
40,Apr-23,192.7
41,May-23,164.5
42,Jun-23,156.4
43,Jul-23,244.5
44,Aug-23,134.9
45,Sep-23,172.6
46,Oct-23,87.4
47,Nov-23,137.6
48,Dec-23,127.9
49,Jan-24,81.5
50,Feb-24,67.2
51,Mar-24,186.1
52,Apr-24,110.8
53,May-24,295.9
54,Jun-24,85.1
55,Jul-24,76.6
56,Aug-24,68.7
57,Sep-24,45.7
58,Oct-24,90.8
59,Nov-24,143.3
60,Dec-24,85.2
